Sort,CASE,DECISION,TARJCASE,COMPANY,PERMNO,COUNTRY,PRODUCT,CERTAIN,DATES,EVENT,NP,ACQ,JV,PE,Semicon,steel92,event_date,event_order
67.0,731092,A,0.0,"Colt Industries, Crucible Materials Group",11332,WEST GERMANY,STRIP AND SHEET,1.0,820611,ITCP,na,na,na,na,0.0,0.0,1982-06-11,2.0
68.0,731092,A,0.0,"Cyclops Corp., Universal-Cyclops Specialty Steel Division",20589,WEST GERMANY,STRIP AND SHEET,1.0,820611,ITCP,na,na,na,na,0.0,0.0,1982-06-11,2.0
69.0,731092,A,0.0,Eastern Stainless Steel ,18251,WEST GERMANY,STRIP AND SHEET,1.0,820611,ITCP,na,na,na,na,0.0,0.0,1982-06-11,2.0
70.0,731092,A,0.0,Jessop Steel,45305,WEST GERMANY,STRIP AND SHEET,1.0,820611,ITCP,na,na,na,na,0.0,0.0,1982-06-11,2.0
71.0,731092,A,0.0,Jones & Laughlin Steel,21530,WEST GERMANY,STRIP AND SHEET,1.0,820611,ITCP,na,na,na,na,0.0,0.0,1982-06-11,2.0
72.0,731092,A,0.0,Republic Steel,14189,WEST GERMANY,STRIP AND SHEET,1.0,820611,ITCP,na,na,na,na,0.0,0.0,1982-06-11,2.0
73.0,731092,A,0.0,Washington Steel,45727,WEST GERMANY,STRIP AND SHEET,1.0,820611,ITCP,na,na,na,na,0.0,0.0,1982-06-11,2.0
74.0,731092,A,0.0,Allegheny Ludlum Steel Corp.,18817,WEST GERMANY,STRIP AND SHEET,0.0,821217,DOCP,na,na,na,na,0.0,0.0,1982-12-17,3.0
75.0,731092,A,0.0,Armco Steel,17566,WEST GERMANY,STRIP AND SHEET,0.0,821217,DOCP,na,na,na,na,0.0,0.0,1982-12-17,3.0
76.0,731092,A,0.0,Carpenter Technology,20618,WEST GERMANY,STRIP AND SHEET,0.0,821217,DOCP,na,na,na,na,0.0,0.0,1982-12-17,3.0
77.0,731092,A,0.0,"Colt Industries, Crucible Materials Group",11332,WEST GERMANY,STRIP AND SHEET,0.0,821217,DOCP,na,na,na,na,0.0,0.0,1982-12-17,3.0
78.0,731092,A,0.0,"Cyclops Corp., Universal-Cyclops Specialty Steel Division",20589,WEST GERMANY,STRIP AND SHEET,0.0,821217,DOCP,na,na,na,na,0.0,0.0,1982-12-17,3.0
79.0,731092,A,0.0,Eastern Stainless Steel ,18251,WEST GERMANY,STRIP AND SHEET,0.0,821217,DOCP,na,na,na,na,0.0,0.0,1982-12-17,3.0
80.0,731092,A,0.0,Jessop Steel,45305,WEST GERMANY,STRIP AND SHEET,0.0,821217,DOCP,na,na,na,na,0.0,0.0,1982-12-17,3.0
81.0,731092,A,0.0,Jones & Laughlin Steel,21530,WEST GERMANY,STRIP AND SHEET,0.0,821217,DOCP,na,na,na,na,0.0,0.0,1982-12-17,3.0
82.0,731092,A,0.0,Republic Steel,14189,WEST GERMANY,STRIP AND SHEET,0.0,821217,DOCP,na,na,na,na,0.0,0.0,1982-12-17,3.0
83.0,731092,A,0.0,Washington Steel,45727,WEST GERMANY,STRIP AND SHEET,0.0,821217,DOCP,na,na,na,na,0.0,0.0,1982-12-17,3.0
84.0,731092,A,0.0,Allegheny Ludlum Steel Corp.,18817,WEST GERMANY,STRIP AND SHEET,0.0,830506,DOCF,na,na,na,na,0.0,0.0,1983-05-06,4.0
85.0,731092,A,0.0,Armco Steel,17566,WEST GERMANY,STRIP AND SHEET,0.0,830506,DOCF,na,na,na,na,0.0,0.0,1983-05-06,4.0
86.0,731092,A,0.0,Carpenter Technology,20618,WEST GERMANY,STRIP AND SHEET,0.0,830506,DOCF,na,na,na,na,0.0,0.0,1983-05-06,4.0
87.0,731092,A,0.0,"Colt Industries, Crucible Materials Group",11332,WEST GERMANY,STRIP AND SHEET,0.0,830506,DOCF,na,na,na,na,0.0,0.0,1983-05-06,4.0
88.0,731092,A,0.0,"Cyclops Corp., Universal-Cyclops Specialty Steel Division",20589,WEST GERMANY,STRIP AND SHEET,0.0,830506,DOCF,na,na,na,na,0.0,0.0,1983-05-06,4.0
89.0,731092,A,0.0,Eastern Stainless Steel ,18251,WEST GERMANY,STRIP AND SHEET,0.0,830506,DOCF,na,na,na,na,0.0,0.0,1983-05-06,4.0
90.0,731092,A,0.0,Jessop Steel,45305,WEST GERMANY,STRIP AND SHEET,0.0,830506,DOCF,na,na,na,na,0.0,0.0,1983-05-06,4.0
91.0,731092,A,0.0,Jones & Laughlin Steel,21530,WEST GERMANY,STRIP AND SHEET,0.0,830506,DOCF,na,na,na,na,0.0,0.0,1983-05-06,4.0
92.0,731092,A,0.0,Republic Steel,14189,WEST GERMANY,STRIP AND SHEET,0.0,830506,DOCF,na,na,na,na,0.0,0.0,1983-05-06,4.0
93.0,731092,A,0.0,Washington Steel,45727,WEST GERMANY,STRIP AND SHEET,0.0,830506,DOCF,na,na,na,na,0.0,0.0,1983-05-06,4.0
94.0,731092,A,0.0,Allegheny Ludlum Steel Corp.,18817,WEST GERMANY,STRIP AND SHEET,0.0,830615,ITCF,na,na,na,na,0.0,0.0,1983-06-15,5.0
