Sort,CASE,DECISION,TARJCASE,COMPANY,PERMNO,COUNTRY,PRODUCT,CERTAIN,DATES,EVENT,NP,ACQ,JV,PE,Semicon,steel92,event_date,event_order
606.0,731377,A,1.0,UNIONS from CATERPILLAR,18542,JAPAN,Forklifts,1.0,891006,TARJ,0,1,0,0,0.0,0.0,1989-10-06,
607.0,731377,A,1.0,UNIONS from CATERPILLAR,18542,JAPAN,Forklifts,1.0,911228,TARJ,0,0,1,0,0.0,0.0,1991-12-28,
648.0,731388,N,1.0,POLARIS INDUSTRIES (MPLS),75182,JAPAN,All-terrain Vehicles,1.0,860910,TARJ,1,0,0,0,0.0,0.0,1986-09-10,
656.0,731389,A,1.0,VERBATIM (SUBSIDIARY OF EASTMAN KODAK SINCE 1985),11754,JAPAN,3.5 Inch Floppy Disks,1.0,880405,TARJ,1,0,0,0,0.0,0.0,1988-04-05,
657.0,731389,A,1.0,VERBATIM (SUBSIDIARY OF EASTMAN KODAK SINCE 1985),11754,JAPAN,3.5 Inch Floppy Disks,1.0,880914,TARJ,1,0,0,0,0.0,0.0,1988-09-14,
660.0,731389,A,1.0,VERBATIM (SUBSIDIARY OF EASTMAN KODAK SINCE 1985),11754,JAPAN,3.5 Inch Floppy Disks,1.0,890308,TARJ,0,0,1,0,0.0,0.0,1989-03-08,
662.0,731391,A,1.0,"TORRINGTON, SUBSID. OF INGERSOLL RAND",12431,GERMANY,Antifriction Ball Bearings,1.0,880201,TARJ,1,0,0,0,0.0,0.0,1988-02-01,
666.0,731391,A,1.0,"TORRINGTON, SUBSID. OF INGERSOLL RAND",12431,JAPAN,Antifriction Ball Bearings,1.0,890311,TARJ,1,0,0,0,0.0,0.0,1989-03-11,
668.0,731391,A,1.0,"TORRINGTON, SUBSID. OF INGERSOLL RAND",12431,JAPAN,Antifriction Ball Bearings,1.0,890405,TARJ,0,1,0,0,0.0,0.0,1989-04-05,
670.0,731391,A,1.0,"TORRINGTON, SUBSID. OF INGERSOLL RAND",12431,GERMANY,Antifriction Ball Bearings,1.0,900917,TARJ,0,1,0,0,0.0,0.0,1990-09-17,
680.0,731426,A,1.0,AT&T CORP.,10401,JAPAN,Small Business Telephones,1.0,890703,TARJ,1,0,0,0,0.0,0.0,1989-07-03,
681.0,731426,A,1.0,COMDIAL CORP.,25073,JAPAN,Small Business Telephones,1.0,890703,TARJ,1,0,0,0,0.0,0.0,1989-07-03,
682.0,731426,A,1.0,AT&T CORP.,10401,JAPAN,Small Business Telephones,1.0,890724,TARJ,1,0,0,0,0.0,0.0,1989-07-24,
683.0,731426,A,1.0,COMDIAL CORP.,25073,JAPAN,Small Business Telephones,1.0,890724,TARJ,1,0,0,0,0.0,0.0,1989-07-24,
690.0,731429,A,1.0,"VERSON DIV. OF ALLIED PRODUCTS CORP, UAW, UNITED STEELWORKERS",26331,JAPAN,Mechanical Transfer Presses,1.0,860728,TARJ,0,1,0,0,0.0,0.0,1986-07-28,
716.0,731451,A,1.0,IDEAL BASIC INDUSTRIES,26286,MEXICO,Portland Cement,1.0,941031,TARJ,0,1,0,0,0.0,0.0,1994-10-31,
717.0,731451,A,1.0,TEXAS INDUSTRIES,40694,MEXICO,Portland Cement,1.0,941031,TARJ,0,1,0,0,0.0,0.0,1994-10-31,
723.0,731458,A,1.0,"DUPONT DE NEMOURS & CO., HOECHST CELANESE CORP., ICI AMERICAS INC.",11703,JAPAN,Polyethylene Teraphthalate (PET) Film,1.0,910924,TARJ,0,0,1,0,0.0,0.0,1991-09-24,
739.0,731490,N,1.0,CHAMPION INTERNATIONAL,21397,GERMANY,Coated Groundwood Paper,1.0,890503,TARJ,0,0,1,0,0.0,0.0,1989-05-03,
740.0,731490,N,1.0,INTERNATIONAL PAPER,21573,GERMANY,Coated Groundwood Paper,1.0,890503,TARJ,0,0,1,0,0.0,0.0,1989-05-03,
741.0,731490,N,1.0,CONSOLIDATED PAPERS,26586,GERMANY,Coated Groundwood Paper,1.0,890503,TARJ,0,0,1,0,0.0,0.0,1989-05-03,
742.0,731490,N,1.0,BOISE CASCADE,42024,GERMANY,Coated Groundwood Paper,1.0,890503,TARJ,0,0,1,0,0.0,0.0,1989-05-03,
743.0,731490,N,1.0,BOWATER INC,66130,GERMANY,Coated Groundwood Paper,1.0,890503,TARJ,0,0,1,0,0.0,0.0,1989-05-03,
794.0,731522,N,1.0,CHRYSLER MOTOR CORP.,11260,JAPAN,Minivans,1.0,960920,TARJ,1,0,0,0,0.0,0.0,1996-09-20,
795.0,731522,N,1.0,FORD MOTOR CO.,25785,JAPAN,Minivans,1.0,960920,TARJ,1,0,0,0,0.0,0.0,1996-09-20,
796.0,731522,N,1.0,GENERAL MOTORS CORP,68451,JAPAN,Minivans,1.0,960920,TARJ,1,0,0,0,0.0,0.0,1996-09-20,
832.0,731556,A,1.0,MICRON TECHNOLOGY (ID),53613,KOREA,DRAMS,1.0,950108,TARJ,1,0,0,0,1.0,0.0,1995-01-08,
833.0,731556,A,1.0,MICRON TECHNOLOGY (ID),53613,KOREA,DRAMS,1.0,950308,TARJ,1,0,0,0,1.0,0.0,1995-03-08,
834.0,731556,A,1.0,MICRON TECHNOLOGY (ID),53613,KOREA,DRAMS,1.0,950522,TARJ,1,0,0,0,1.0,0.0,1995-05-22,
845.0,731557,N,1.0,BETHLEHEM STEEL CORP.,10786,JAPAN,Steel Rails,1.0,940713,TARJ,0,1,0,0,0.0,0.0,1994-07-13,
846.0,731557,N,1.0,CF & I STEEL CORP.,86239,JAPAN,Steel Rails,1.0,940713,TARJ,0,1,0,0,0.0,0.0,1994-07-13,
